folio;depto;area;s01a_01;s01a_02;s01a_02e;s01a_03;s01a_03e;s01a_04;s01a_05;s01a_06;s01a_06e;s01a_07;s01a_08;s01a_08e;s01a_09;s01a_09e;s01a_10;s01a_10e;s01a_11aa;s01a_11ab;s01a_11b;s01a_12;s01a_13;s01a_14_1;s01a_14_2;s01a_14_3;s01a_15;s01a_16;s01a_17;s01a_18;s01a_19;s01a_20;s01a_21;s01a_21e;s01a_22_1a;s01a_22_1b;s01a_22_2a;s01a_22_2b;s01a_22_3a;s01a_22_3b;s01a_22_4a;s01a_22_4ae;s01a_22_4b;s01a_23_1a;s01a_23_1b;s01a_23_2a;s01a_23_2b;s01a_23_3a;s01a_23_3b;s01a_23_4a;s01a_23_4b;s01a_23_5a;s01a_23_5ae;s01a_23_5b;s01a_24;s01a_25;s01a_25e;s01a_26;s01a_27;s01a_28;s01a_29;s01a_30;s01a_31;upm;estrato;factor
16475;3;2;1;1; ;4; ; ;50;2; ;2;2; ;1; ;1; ;24;0;7; ;1;1;1;2;5; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;1; ;0;1;1;2; ;2;351-05320791081-D;21;491
16477;3;2;1;1; ; ; ; ;20;2; ;1;1; ;1; ;1; ;24;0;7; ;2;2;1;2;5; ; ; ;2; ;3; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;1; ;0;1;1;2; ;2;351-05320791081-D;21;491
16479;3;2;1;1; ;4; ; ;20;2; ;2;1; ;1; ;1; ;24;0;7;0;2;1;2;2;5; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;1; ;0;1;1;2; ;2;351-05320791081-D;21;491
16483;3;2;1;1; ; ; ; ;20;2; ;2;1; ;1; ;2; ;2;0;7; ;2;1;1;1;5; ; ; ;1;16;2; ;2; ;2; ;2; ;2; ; ;1;800;2; ;2; ;2; ;2; ; ;1;1; ;0;1;1;2; ;2;351-05320791081-D;21;491
16486;3;2;1;1; ; ; ; ;10;2; ;2;4; ;1; ;2; ;1;0;7; ;2;1;1;1;5; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;1; ;0;1;0;2; ;2;351-05320791081-D;21;491
16488;3;2;1;1; ; ; ; ;10;2; ;2;1; ;1; ;2; ;7;0;7; ;2;1;1;2;5; ; ; ;1;24;2; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;1; ;0;1;1;2; ;2;351-05320791081-D;21;491
16491;3;2;1;1; ; ; ; ;10;2; ;2;1; ;1; ;9; ; ; ; ; ;2;1;1;1;5; ; ; ;2; ;3; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;1; ;0;1;1;2; ;2;351-05320791081-D;21;491
16496;2;1;1;1; ;4; ; ;250;1; ;1;1; ;5; ;2; ;12;0;7;12;2;1;1;1;2; ;1; ;2; ;3; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;2;1;2; ;2;262-06030538528-A;12;182
16497;2;1;1;1; ;4; ; ;400;1; ;1;1; ;5; ;1; ;18;0;6;40;2;1;1;1;2; ;1; ;1;250;3; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;4;3;2; ;2;262-06030538528-A;12;182
16506;8;1;1;1; ;4; ; ;800;1; ;1;1; ;6; ;1; ;22;0;7;60;1;1;1;2;1;1;1; ;1;100;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;23;2;2;2; ;2;824-01106014787-A;14;316
16507;8;1;4;3; ; ; ;300; ;1; ;1;1; ;6; ;1; ;24;0;7;30;2;1;2;2;1;1;1; ;1;20;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;23;1;1;2; ;2;824-01106014787-A;14;316
16508;8;1;1;1; ;4; ; ;1500;1; ;1;2; ;1; ;2; ;20;0;7;70;2;1;2;2;1;1;1; ;1;200;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;7; ; ;2;2;1;200;2;824-01106014787-A;14;316
16509;8;1;1;7; ; ; ; ;500;1; ;1;1; ;6; ;10; ; ; ; ;40;2;1;2;2;1;1;2;2;1;40;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;7; ; ;1;1;2; ;2;824-01106014787-A;14;316
